INFO:root:2021-06-11 19:02:48.783861	le_kalmique: registered

INFO:root:2021-06-11 20:33:58.789369	careybobby: registered

INFO:root:2021-06-11 20:33:58.792366	careybobby: logged in

INFO:root:2021-06-11 20:33:58.810371	jheath: registered

INFO:root:2021-06-11 20:33:58.812366	jheath: logged in

INFO:root:2021-06-11 20:33:58.826364	rodriguezbrian: registered

INFO:root:2021-06-11 20:33:58.828364	rodriguezbrian: logged in

INFO:root:2021-06-11 20:33:58.841057	fernandezandrea: registered

INFO:root:2021-06-11 20:33:58.845081	fernandezandrea: logged in

INFO:root:2021-06-11 20:33:58.856043	luis26: registered

INFO:root:2021-06-11 20:33:58.861044	luis26: logged in

INFO:root:2021-06-11 20:34:49.359502	helen82: registered

INFO:root:2021-06-11 20:34:49.361503	helen82: logged in

INFO:root:2021-06-11 20:34:49.370502	brent03: registered

INFO:root:2021-06-11 20:34:49.372503	brent03: logged in

INFO:root:2021-06-11 20:34:49.383505	tbrown: registered

INFO:root:2021-06-11 20:34:49.385502	tbrown: logged in

INFO:root:2021-06-11 20:34:49.395500	salazarkenneth: registered

INFO:root:2021-06-11 20:34:49.398505	salazarkenneth: logged in

INFO:root:2021-06-11 20:34:49.406500	cranedenise: registered

INFO:root:2021-06-11 20:34:49.409504	cranedenise: logged in

INFO:root:2021-06-11 20:34:59.750036	jessica68: registered

INFO:root:2021-06-11 20:34:59.753036	jessica68: logged in

INFO:root:2021-06-11 20:34:59.766035	waynecarr: registered

INFO:root:2021-06-11 20:34:59.769037	waynecarr: logged in

INFO:root:2021-06-11 20:34:59.778035	fernandezrandall: registered

INFO:root:2021-06-11 20:34:59.781035	fernandezrandall: logged in

INFO:root:2021-06-11 20:34:59.790040	marcus03: registered

INFO:root:2021-06-11 20:34:59.795051	marcus03: logged in

INFO:root:2021-06-11 20:34:59.803036	robinsonjason: registered

INFO:root:2021-06-11 20:34:59.806037	robinsonjason: logged in

INFO:root:2021-06-11 20:35:09.216271	juarezalfred: registered

INFO:root:2021-06-11 20:35:09.220266	juarezalfred: logged in

INFO:root:2021-06-11 20:35:09.231265	maloneanita: registered

INFO:root:2021-06-11 20:35:09.233265	maloneanita: logged in

INFO:root:2021-06-11 20:35:09.242268	tberry: registered

INFO:root:2021-06-11 20:35:09.245266	tberry: logged in

INFO:root:2021-06-11 20:35:09.254273	masonblake: registered

INFO:root:2021-06-11 20:35:09.258269	masonblake: logged in

INFO:root:2021-06-11 20:35:09.267270	robert52: registered

INFO:root:2021-06-11 20:35:09.270264	robert52: logged in

INFO:root:2021-06-11 20:35:29.480788	bthomas: registered

INFO:root:2021-06-11 20:35:29.482788	bthomas: logged in

INFO:root:2021-06-11 20:35:29.491786	nathanielhendricks: registered

INFO:root:2021-06-11 20:35:29.493788	nathanielhendricks: logged in

INFO:root:2021-06-11 20:35:29.503789	russellshawn: registered

INFO:root:2021-06-11 20:35:29.506796	russellshawn: logged in

INFO:root:2021-06-11 20:35:29.517786	malonesteven: registered

INFO:root:2021-06-11 20:35:29.520790	malonesteven: logged in

INFO:root:2021-06-11 20:35:29.531785	tmcconnell: registered

INFO:root:2021-06-11 20:35:29.534785	tmcconnell: logged in

INFO:root:2021-06-11 20:55:04.353259	anthonylopez: registered

INFO:root:2021-06-11 20:55:04.357259	anthonylopez: logged in

INFO:root:2021-06-11 20:55:04.368261	ymorton: registered

INFO:root:2021-06-11 20:55:04.371260	ymorton: logged in

INFO:root:2021-06-11 20:55:04.380260	melissaburton: registered

INFO:root:2021-06-11 20:55:04.382259	melissaburton: logged in

INFO:root:2021-06-11 20:55:04.392259	alexisjennings: registered

INFO:root:2021-06-11 20:55:04.397258	alexisjennings: logged in

INFO:root:2021-06-11 20:55:04.405264	melanie13: registered

INFO:root:2021-06-11 20:55:04.408261	melanie13: logged in

INFO:root:2021-06-11 21:42:42.670381	le_kalmique: logged in

INFO:root:2021-06-11 21:45:26.629993	le_kalmique: logged in

INFO:root:2021-06-11 21:46:12.758115	le_kalmique: logged in

INFO:root:2021-06-11 21:47:59.212035	le_kalmique: logged in

INFO:root:2021-06-11 21:48:17.741802	le_kalmique: signed out

INFO:root:2021-06-11 21:48:21.305481	careybobby: logged in

INFO:root:2021-06-11 21:50:57.026024	careybobby: logged in

INFO:root:2021-06-11 21:51:19.522403	le_kalmique: logged in

INFO:root:2021-06-11 21:51:39.790893	le_kalmique: logged in

INFO:root:2021-06-11 21:51:54.248418	le_kalmique: signed out

INFO:root:2021-06-11 21:51:58.771562	careybobby: logged in

INFO:root:2021-06-11 21:52:16.944247	careybobby: signed out

INFO:root:2021-06-11 21:52:20.193124	le_kalmique: logged in

INFO:root:2021-06-11 21:58:05.917453	le_kalmique: logged in

INFO:root:2021-06-11 21:58:23.428946	le_kalmique: signed out

INFO:root:
2021-06-11 22:32:51.724920	Event: User le_kalmique signed in
